h e0 var0 e1 var1 
0.5 -67.0668 1.30118e-07 -66.058 0.00310631 
0.501 -67.0834 1.33662e-07 -66.0764 0.00200965 
0.502 -67.1 1.37247e-07 -66.0959 0.000757257 
0.503 -67.1167 1.40927e-07 -66.1147 0.0035755 
0.504 -67.1333 1.44786e-07 -66.1336 0.00170185 
0.505 -67.1501 1.48691e-07 -66.153 0.0012149 
0.506 -67.1668 1.52721e-07 -66.1703 0.00179909 
0.507 -67.1836 1.56818e-07 -66.1894 0.00102871 
0.508 -67.2004 1.61003e-07 -66.208 0.00152678 
0.509 -67.2173 1.65389e-07 -66.2279 0.00124231 
0.51 -67.2342 1.69813e-07 -66.2444 0.00125431 
0.511 -67.2511 1.7434e-07 -66.266 0.00112616 
0.512 -67.2681 1.78992e-07 -66.2853 0.00157714 
0.513 -67.2851 1.83759e-07 -66.3022 0.00183051 
0.514 -67.3021 1.88697e-07 -66.322 0.00142908 
0.515 -67.3192 1.937e-07 -66.339 0.00357159 
0.516 -67.3363 1.98824e-07 -66.3589 0.0017569 
0.517 -67.3534 2.04186e-07 -66.3782 0.00213417 
0.518 -67.3706 2.09581e-07 -66.3976 0.0024902 
0.519 -67.3878 2.15073e-07 -66.4143 0.00276324 
0.52 -67.4051 2.20787e-07 -66.4364 0.00152531 
0.521 -67.4223 2.26592e-07 -66.4555 0.00173853 
0.522 -67.4397 1.69794e-07 -66.4757 0.00192665 
0.523 -67.457 1.49766e-07 -66.4941 0.00143046 
0.524 -67.4744 1.5877e-07 -66.5124 0.00424953 
0.525 -67.4919 1.74672e-07 -66.5343 0.000875985 
0.526 -67.5093 1.65714e-07 -66.5514 0.00214476 
0.527 -67.5268 1.65404e-07 -66.5714 0.00242815 
0.528 -67.5444 1.76851e-07 -66.5916 0.00256657 
0.529 -67.5619 1.85786e-07 -66.6113 0.00183798 
0.53 -67.5796 1.83012e-07 -66.6304 0.00102467 
0.531 -67.5972 1.95459e-07 -66.651 0.00202454 
0.532 -67.6149 1.95217e-07 -66.67 0.00129529 
0.533 -67.6326 2.13828e-07 -66.6884 0.00180288 
0.534 -67.6504 1.97098e-07 -66.7078 0.00360681 
0.535 -67.6682 2.02082e-07 -66.7277 0.00158484 
0.536 -67.686 1.60112e-07 -66.7484 0.00252838 
0.537 -67.7038 8.83674e-08 -66.7674 0.00212574 
0.538 -67.7217 9.05557e-08 -66.7881 0.00193999 
0.539 -67.7397 8.65512e-08 -66.8069 0.00168311 
0.54 -67.7577 9.19172e-08 -66.8271 0.00177715 
0.541 -67.7757 8.90868e-08 -66.849 0.00201298 
0.542 -67.7937 8.80073e-08 -66.871 0.00130879 
0.543 -67.8118 9.01664e-08 -66.8874 0.00296051 
0.544 -67.8299 8.70277e-08 -66.9071 0.00295528 
0.545 -67.8481 9.27048e-08 -66.9278 0.00225195 
0.546 -67.8663 9.50304e-08 -66.9484 0.00264695 
0.547 -67.8845 9.01473e-08 -66.9672 0.00166934 
0.548 -67.9028 9.23783e-08 -66.9898 0.00239228 
0.549 -67.9211 9.46238e-08 -67.0082 0.00543293 
0.55 -67.9394 9.69949e-08 -67.0299 0.00133318 
0.551 -67.9578 9.93332e-08 -67.0507 0.00251424 
0.552 -67.9762 1.01749e-07 -67.0706 0.00252589 
0.553 -67.9946 1.04282e-07 -67.0895 0.00194511 
0.554 -68.0131 1.06817e-07 -67.1112 0.00290725 
0.555 -68.0316 1.09424e-07 -67.1317 0.00237356 
0.556 -68.0502 9.74942e-08 -67.1526 0.0017143 
0.557 -68.0688 8.92987e-08 -67.1732 0.00253986 
0.558 -68.0874 9.47302e-08 -67.1906 0.00204501 
0.559 -68.1061 9.50486e-08 -67.2146 0.00213446 
0.56 -68.1248 9.7195e-08 -67.2348 0.00232631 
0.561 -68.1435 1.01204e-07 -67.2538 0.00304617 
0.562 -68.1623 1.03653e-07 -67.2782 0.00233466 
0.563 -68.1811 1.05676e-07 -67.2972 0.0015977 
0.564 -68.2 1.03884e-07 -67.3154 0.0037117 
0.565 -68.2188 1.03901e-07 -67.3387 0.00226826 
0.566 -68.2378 1.0333e-07 -67.3593 0.0024548 
0.567 -68.2567 1.11047e-07 -67.3809 0.00145248 
0.568 -68.2757 1.06952e-07 -67.3999 0.00316227 
0.569 -68.2948 1.07628e-07 -67.4223 0.00313684 
0.57 -68.3138 1.10207e-07 -67.4457 0.00138319 
0.571 -68.3329 1.13048e-07 -67.4655 0.00145406 
0.572 -68.3521 1.16444e-07 -67.4874 0.00165576 
0.573 -68.3713 1.17851e-07 -67.5077 0.00130974 
0.574 -68.3905 1.2159e-07 -67.5273 0.00285299 
0.575 -68.4097 8.13634e-08 -67.5504 0.00219525 
0.576 -68.429 7.05977e-08 -67.5703 0.0013476 
0.577 -68.4484 3.01216e-08 -67.5944 0.00183219 
0.578 -68.4677 2.85027e-08 -67.615 0.00159675 
0.579 -68.4871 2.36059e-08 -67.6365 0.00107239 
0.58 -68.5066 2.2751e-08 -67.6577 0.00303837 
0.581 -68.5261 2.23918e-08 -67.6784 0.00167547 
0.582 -68.5456 2.28702e-08 -67.7004 0.00140956 
0.583 -68.5651 1.66692e-08 -67.7228 0.00158412 
0.584 -68.5847 1.32695e-08 -67.7432 0.000964185 
0.585 -68.6044 1.73022e-08 -67.7657 0.000816971 
0.586 -68.624 1.96778e-08 -67.7858 0.00264617 
0.587 -68.6437 2.01189e-08 -67.8056 0.00303501 
0.588 -68.6635 1.82836e-08 -67.8297 0.00235351 
0.589 -68.6832 1.8621e-08 -67.8519 0.00387646 
0.59 -68.7031 1.90194e-08 -67.8741 0.00135039 
0.591 -68.7229 1.9385e-08 -67.8959 0.00250763 
0.592 -68.7428 1.9706e-08 -67.9159 0.00290107 
0.593 -68.7627 2.01235e-08 -67.9389 0.00106071 
0.594 -68.7827 2.05182e-08 -67.9607 0.00258643 
